府令コード,様式コード（コード値）,様式番号,様式名,書類種別,開示区分,備考
030,10C001,第十号の二様式,訂正半期報告書（外国投資信託受益証券）,訂正半期報告書,開示,
030,10D000,第十一号様式,半期報告書（外国投資証券）,半期報告書,開示,
030,10D001,第十一号様式,訂正半期報告書（外国投資証券）,訂正半期報告書,開示,
030,10I000,第十号の二の二様式,外国会社半期報告書,半期報告書,開示,
030,10I001,第十号の二の二様式,外国会社半期訂正報告書（上場外国投資信託受益証券）,訂正半期報告書,開示,
030,110000,第十一号様式,半期報告書（外国貸付債権信託受益証券）,半期報告書,開示,
030,110001,第十一号様式,訂正半期報告書（外国貸付債権信託受益証券）,訂正半期報告書,開示,
030,112000,第十一号の二様式,半期報告書（内国資産流動化証券）,半期報告書,開示,
030,112001,第十一号の二様式,訂正半期報告書（内国資産流動化証券）,訂正半期報告書,開示,
030,113000,第十一号の三様式,半期報告書（外国資産流動化証券）,半期報告書,開示,
030,113001,第十一号の三様式,訂正半期報告書（外国資産流動化証券）,訂正半期報告書,開示,
030,114000,第十一号の四様式,半期報告書（内国資産信託流動化受益証券）,半期報告書,開示,
030,114001,第十一号の四様式,訂正半期報告書（内国資産信託流動化受益証券）,訂正半期報告書,開示,
030,115000,第十一号の五様式,半期報告書（外国資産信託流動化受益証券）,半期報告書,開示,
030,115001,第十一号の五様式,訂正半期報告書（外国資産信託流動化受益証券）,訂正半期報告書,開示,
030,120000,第十二号様式,半期報告書（貸付債権信託受益権）,半期報告書,開示,
030,120001,第十二号様式,訂正半期報告書（貸付債権信託受益権）,訂正半期報告書,開示,
030,122000,第十二号の二様式,半期報告書（内国組合契約出資持分）,半期報告書,開示,
030,122001,第十二号の二様式,訂正半期報告書（内国組合契約出資持分）,訂正半期報告書,開示,
030,123000,第十二号の三様式,半期報告書（外国組合契約出資持分）,半期報告書,開示,
030,123001,第十二号の三様式,訂正半期報告書（外国組合契約出資持分）,訂正半期報告書,開示,
030,12A000,第十二号様式,半期報告書（内国信託受益証券等）,半期報告書,開示,
030,12A001,第十二号様式,訂正半期報告書（内国信託受益証券等）,訂正半期報告書,開示,
030,12B000,第十二号の二様式,半期報告書（外国信託受益証券等）,半期報告書,開示,
030,12B001,第十二号の二様式,訂正半期報告書（外国信託受益証券等）,訂正半期報告書,開示,
030,12C000,第十二号の三様式,半期報告書（内国抵当証券）,半期報告書,開示,
030,12C001,第十二号の三様式,訂正半期報告書（内国抵当証券）,訂正半期報告書,開示,
030,12D000,第十二号の四様式,半期報告書（外国抵当証券）,半期報告書,開示,
030,12D001,第十二号の四様式,訂正半期報告書（外国抵当証券）,訂正半期報告書,開示,
030,12E000,第十二号の五様式,半期報告書（内国有価証券投資事業権利等）,半期報告書,開示,
030,12E001,第十二号の五様式,訂正半期報告書（内国有価証券投資事業権利等）,訂正半期報告書,開示,
030,12F000,第十二号の六様式,半期報告書（外国有価証券投資事業権利等）,半期報告書,開示,
030,12F001,第十二号の六様式,訂正半期報告書（外国有価証券投資事業権利等）,訂正半期報告書,開示,
030,150000,第十五号様式,発行登録書（内国投資証券）,発行登録書,開示,
030,152000,第十五号の三様式,発行登録書（短期投資法人債）,発行登録書,開示,
030,15A000,第十五号の二様式,発行登録書（特定内国資産流動化証券）,発行登録書,開示,
030,160000,第十六号様式,発行登録書（外国投資証券）,発行登録書,開示,
030,162000,第十六号の三様式（旧第十六号の二様式）,発行登録書（短期外債）,発行登録書,開示,
030,16A000,第十六号の二様式,発行登録書（特定外国資産流動化証券）,発行登録書,開示,
030,170001,第十七号様式,訂正発行登録書（内国投資証券）,訂正発行登録書,開示,
030,172001,第十七号の二様式,訂正発行登録書（特定内国資産流動化証券）,訂正発行登録書,開示,
030,180001,第十八号様式,訂正発行登録書（外国投資証券）,訂正発行登録書,開示,
030,182001,第十八号の二様式,訂正発行登録書（特定外国資産流動化証券）,訂正発行登録書,開示,
030,190004,第十九号様式,発行登録取下届出書（内国投資証券）,発行登録取下届出書,非開示,
030,192004,第十九号の二様式,発行登録取下届出書（特定内国資産流動化証券）,発行登録取下届出書,非開示,
030,200004,第二十号様式,発行登録取下届出書（外国投資証券）,発行登録取下届出書,非開示,
030,202004,第二十号の二様式,発行登録取下届出書（特定外国資産流動化証券）,発行登録取下届出書,非開示,
030,210003,第二十一号様式,発行登録追補書類（内国投資証券）,発行登録追補書類,開示,
030,212003,第二十一号の二様式,発行登録追補書類（特定内国資産流動化証券）,発行登録追補書類,開示,
030,220003,第二十二号様式,発行登録追補書類（外国投資証券）,発行登録追補書類,開示,
030,222003,第二十二号の二様式,発行登録追補書類（特定外国資産流動化証券）,発行登録追補書類,開示,
030,230001,第二十三号様式,変更発行登録通知書（内国投資証券）,変更通知書（発行登録通知書）,非開示,
030,230005,第二十三号様式,発行登録通知書（内国投資証券）,発行登録通知書,非開示,
030,232001,第二十三号の二様式,変更発行登録通知書（特定内国資産流動化証券）,変更通知書（発行登録通知書）,非開示,
030,232005,第二十三号の二様式,発行登録通知書（特定内国資産流動化証券）,発行登録通知書,非開示,
030,240001,第二十四号様式,変更発行登録通知書（外国投資証券）,変更通知書（発行登録通知書）,非開示,
030,240005,第二十四号様式,発行登録通知書（外国投資証券）,発行登録通知書,非開示,
030,242001,第二十四号の二様式,変更発行登録通知書（特定外国資産流動化証券）,変更通知書（発行登録通知書）,非開示,
030,242005,第二十四号の二様式,発行登録通知書（特定外国資産流動化証券）,発行登録通知書,非開示,
030,253000,第二十五号の三様式,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,自己株券買付状況報告書,開示,
030,253001,第二十五号の三様式,訂正自己株券買付状況報告書（法２４条の６第１項に基づくもの）,訂正自己株券買付状況報告書,開示,
030,701001,XBRLの修正様式,XBRLの修正（特定有価証券−有価証券届出書）,訂正有価証券届出書,開示,
030,702001,XBRLの修正様式,XBRLの修正（特定有価証券−有価証券報告書）,訂正有価証券報告書,開示,
030,706001,XBRLの修正様式,XBRLの修正（特定有価証券−半期報告書）,訂正半期報告書,開示,
030,707001,XBRLの修正様式,XBRLの修正（特定有価証券−外国会社報告書）,訂正有価証券報告書,開示,
030,708001,XBRLの修正様式,XBRLの修正（特定有価証券−外国会社半期報告書）,訂正半期報告書,開示,
030,709001,XBRLの修正様式,XBRLの修正（特定有価証券−外国会社届出書）,訂正有価証券届出書,開示,
030,990004,様式なし,届出の取下げ願い（四号、四号の三、四号の三の二、四号の三の三、五号の二、六号の五様式）,届出の取下げ願い,非開示,
030,991004,様式なし,届出の取下げ願い（六号の三、六号の四、六号の四の二様式）,届出の取下げ願い,非開示,
030,992004,様式なし,届出の取下げ願い（四号の二、四号の二の二、四号の四、四号の四の二、四号の四の三、五号様式）,届出の取下げ願い,非開示,
030,993004,様式なし,届出の取下げ願い（五号の三、五号の三の四、六号の六、六号の六の二様式）,届出の取下げ願い,非開示,
030,994004,様式なし,届出の取下げ願い（五号の四、六号様式）,届出の取下げ願い,非開示,
030,995000,様式なし,臨時報告書（内国特定有価証券）,臨時報告書,開示,
030,995001,様式なし,訂正臨時報告書（内国特定有価証券）,訂正臨時報告書,開示,
030,995004,様式なし,届出の取下げ願い（五号の五、五号の五の二、六号の二、六号の二の二様式）,届出の取下げ願い,非開示,
030,996004,様式なし,届出の取下げ願い（第五号の二のニ様式、第五号のニの三様式）,届出の取下げ願い,非開示,
030,997004,様式なし,届出の取下げ願い（第五号の三のニ様式、第五号の三の三様式）,届出の取下げ願い,非開示,
030,999000,様式なし,臨時報告書（外国特定有価証券）,臨時報告書,開示,
030,999001,様式なし,訂正臨時報告書（外国特定有価証券）,訂正臨時報告書,開示,
030,999100,様式なし,外国会社臨時報告書（外国特定有価証券）,臨時報告書,開示,
030,999101,様式なし,訂正外国会社臨時報告書（外国特定有価証券）,訂正臨時報告書,開示,
040,020000,第二号様式,公開買付届出書,公開買付届出書,開示,
040,020001,第二号様式,訂正公開買付届出書,訂正公開買付届出書,開示,
040,030000,第三号様式,別途買付け禁止の特例を受けるための申出書,別途買付け禁止の特例を受けるための申出書,非開示,
040,030001,第三号様式,訂正別途買付け禁止の特例を受けるための申出書,訂正別途買付け禁止の特例を受けるための申出書,非開示,
040,040000,第四号様式,意見表明報告書,意見表明報告書,開示,
040,040001,第四号様式,訂正意見表明報告書,訂正意見表明報告書,開示,
040,050006,第五号様式,公開買付撤回届出書,公開買付撤回届出書,開示,
040,060001,第六号様式,訂正公開買付報告書,訂正公開買付報告書,開示,
040,060007,第六号様式,公開買付報告書,公開買付報告書,開示,
040,080001,第八号様式,訂正対質問回答報告書,訂正対質問回答報告書,開示,
040,080008,第八号様式,対質問回答報告書,対質問回答報告書,開示,
050,020000,第二号様式,公開買付届出書,公開買付届出書,開示,
050,020001,第二号様式,訂正公開買付届出書,訂正公開買付届出書,開示,
050,030006,第三号様式,公開買付撤回届出書,公開買付撤回届出書,開示,
050,040001,第四号様式,訂正公開買付報告書,訂正公開買付報告書,開示,
050,040007,第四号様式,公開買付報告書,公開買付報告書,開示,
060,010000,第一号様式,大量保有報告書,大量保有報告書,開示,
060,010002,第一号様式,変更報告書,大量保有報告書,開示,
060,020002,第一号及び第二号様式,変更報告書（短期大量譲渡）,大量保有報告書,開示,
060,030000,第三号様式,大量保有報告書（特例対象株券等）,大量保有報告書,開示,
060,030002,第三号様式,変更報告書（特例対象株券等）,大量保有報告書,開示,
060,040000,第四号様式,基準日の届出書,基準日の届出書,非開示,
060,040001,第四号様式,基準日等の変更届出書,変更の届出書,非開示,
060,090001,様式なし,訂正報告書（大量保有報告書・変更報告書）,訂正大量保有報告書,開示,
